x, y
1.3321219660120804, 2.1224539488347642
2.2288526425471225, 1.4693877459505806
3.4244935445938434, 1.9591836612674407
4.288012480628483, 1.9591836612674407
5.151531416663125, 2.9387754919011613
6.1478988350353925, 1.3061174583832569
7.044629511570432, 7.020413102003366
8.0409969299427, 1.3061174583832569
9.004151087478544, 9.14285210345302
10.166578728688835, 12.244897882921505
11.096522666060304, 21.71429056150917
12.292163568107028, 15.34694366238999
13.188894244642064, 30.040821121895796
14.085624921177105, 30.85714266496219
15.048779078712949, 30.040821121895796
16.144783238922443, 17.142857036090106
17.141150657294713, 15.34694366238999
18.170731336503405, 7.183668442185579
19.200312015712097, 8.979596763270807
19.99740595040991, 12.244897882921505
21.193046852456636, 31.020412952529515
21.956927526318022, 38.2040813947151
22.986508205526718, 28.40816308837789
23.883238882061757, 38.2040813947151
25.078879784108477, 24.326525478275684
26.10845742264512, 30.040821121895796
27.005188099180163, 6.040821271369646
28.03476877838886, 16.163265205456387
29.031136196761125, 6.040821271369646
29.961077093460535, 35.102035615246606
31.090297555178513, 14.367351831756269
31.854175188367844, 22.20408647682603
32.916969128412966, 40.32653534354986
34.079399810295314, 86.20408109576739
34.909703965157505, 99.59184109688994
36.07213464703985, 107.10203516682506
36.902438801902036, 86.04081080820006
37.998442962111525, 79.02041265358181
38.96160016031942, 127.02040488094156
39.89154105701884, 113.30612672576203
40.85469825522674, 143.18367008639794
41.88427589376338, 113.30612672576203
42.88064331213564, 85.06121897756634
43.943437252180765, 109.38775940322714
44.87337814888018, 180.0816302858835
45.80331904557959, 92.57142799488658
46.89932320578908, 164.24489444502294
47.962117145834206, 95.99999940210459
48.85884782236925, 123.265307845974
49.921641762414374, 95.1836778590382
50.88479287927816, 182.36734704859302
51.847950077486054, 116.57142784541273
52.84431749585832, 80.4898003995324
53.774258392557726, 56.1632599738716
54.83705233260286, 27.42857125774417
55.66735648746505, 44.24490266608474
56.829787169347405, 48.16326998861962
57.759728066046804, 73.14286166977949
58.75609548441906, 56.1632599738716
59.75246290279134, 38.04081110714777
60.68240988083486, 52.40816293890404
61.77841404104436, 57.959188294956824
62.74156515790815, 95.34693319922042
63.638295834443184, 46.69388224266904
64.73429999465269, 57.959188294956824
